from_name,from_entity_type,to_name,to_entity_type,from_id,to_id
Communications Equipment Distributors,RBICS_IG,IT Hardware Distributors,RBICS_IG,5515301010,55153010
Conferencing Equipment,RBICS_IG,Business Communications Equipment,RBICS_IG,5515151010,55151510
Infusion Therapy Devices,RBICS_IG,Drug Delivery Devices,RBICS_IG,3520101510,35201015
General Automotive Services,RBICS_IG,Automotive Services,RBICS_IG,2015101015,20151010
US Traditional Fuel Wholesale Power,RBICS_IG,United States Wholesale Power,RBICS_IG,6510103515,65101035
Other United States Electric Utilities,RBICS_IG,Electric Utilities,RBICS_IG,6510101015,65101010
Diversified Healthcare Distributors,RBICS_IG,Healthcare Distributors,RBICS_IG,3515102010,35151020
Information and Disk Storage Systems,RBICS_IG,Data Storage Hardware,RBICS_IG,5515202020,55152020
United States South and West Savings Institutions,RBICS_IG,United States Savings Institutions,RBICS_IG,3010201515,30102015
Other Construction Wood Products Makers,RBICS_IG,Construction Wood Products,RBICS_IG,4520101025,45201010
General Commercial Electronics Manufacturers,RBICS_IG,Other Commercial Electronics Manufacturing,RBICS_IG,5515103510,55151035
"Team, Individual and Other Sports Manufacturing",RBICS_IG,Sporting and Athletic Goods,RBICS_IG,2010152030,20101520
United States Wireless Services,RBICS_IG,Wireless Services,RBICS_IG,6010151030,60101510
Life and Health Reinsurance,RBICS_IG,Reinsurance,RBICS_IG,3015102510,30151025
Business Development Companies,RBICS_IG,Investment Holding Companies,RBICS_IG,3020102015,30201020
Other Core Infrastructure Equipment,RBICS_IG,Wireless Core Infrastructure Equipment,RBICS_IG,5515154020,55151540
Golf Equipment,RBICS_IG,Sporting and Athletic Goods,RBICS_IG,2010152015,20101520
Anesthesia Biopharmaceuticals,RBICS_IG,Pain Management Biopharmaceuticals,RBICS_IG,3510151510,35101515
Healthcare Staffing and Recruiting,RBICS_IG,Other Healthcare Support Services,RBICS_IG,3515102530,35151025
Other Commercial Transportation Equipment Makers,RBICS_IG,Commercial Transportation Equipment Manufacturing,RBICS_IG,4010251025,40102510
International Natural Gas Pipeline and Storage,RBICS_IG,Natural Gas Pipeline and Storage Services,RBICS_IG,2515151010,25151510
Asia/Pacific Department Stores,RBICS_IG,Department Stores,RBICS_IG,5010151015,50101510
Cellular Site Equipment,RBICS_IG,Wireless Core Infrastructure Equipment,RBICS_IG,5515154010,55151540
Tools and Outdoor Care Building Hand Tool Products,RBICS_IG,Tools and Outdoor Care Equipment,RBICS_IG,4010203525,40102035
Programmable Logic Device Semiconductors,RBICS_IG,Programmable Logic and ASIC Semiconductors,RBICS_IG,5510203515,55102035
Video Peripherals,RBICS_IG,Computer Peripherals,RBICS_IG,5515201040,55152010
Magnetic Passive Electronic Components,RBICS_IG,Passive Electronic Components,RBICS_IG,5510102515,55101025
Printed Circuit Boards,RBICS_IG,Hardware Components,RBICS_IG,5515203020,55152030
Other United States Commercial Banks,RBICS_IG,United States Commercial Banks,RBICS_IG,3010201010,30102010
Pan-Asia/Pacific Wholesale Power,RBICS_IG,Asia/Pacific Wholesale Power,RBICS_IG,6510104510,65101045
Passenger Rail Transportation,RBICS_IG,Other Passenger Transportation,RBICS_IG,4015301520,40153015
Other United States Energy Utilities,RBICS_IG,Other Electric and Natural Gas Utilities,RBICS_IG,6510102020,65101020
Video Signal Processor and Receiver Equipment,RBICS_IG,Consumer Video Electronics Equipment,RBICS_IG,5515252520,55152525
Oscillator and Piezoelectric Passive Components,RBICS_IG,Passive Electronic Components,RBICS_IG,5510102520,55101025
Multi-Type Investment Holding Companies,RBICS_IG,Investment Holding Companies,RBICS_IG,3020102020,30201020
Mixed Industrial Machinery Parts/Equipment Makers,RBICS_IG,Industrial Machine Parts and Support Equipment,RBICS_IG,4010202010,40102020
Boat Makers,RBICS_IG,Recreational Goods,RBICS_IG,2010151510,20101515
Off-Price Retail Stores,RBICS_IG,Off-Price Retailers,RBICS_IG,5010152510,50101525
Electronics Manufacturing Equipment Manufacturing,RBICS_IG,Electronics Manufacturing Equipment,RBICS_IG,5510251010,55102510
Europe Air Passenger Service Providers,RBICS_IG,Air Passenger Transportation,RBICS_IG,4015301020,40153010
Print Advertising,RBICS_IG,Print Media and Publishing Services,RBICS_IG,1515102015,15151020
Test and Measurement Communications Equipment,RBICS_IG,Test and Measurement Equipment,RBICS_IG,5515104520,55151045
General Leisure Goods,RBICS_IG,Other Leisure Goods,RBICS_IG,2010151015,20101510
Volatile Memory Semiconductors,RBICS_IG,Memory Semiconductors,RBICS_IG,5510202520,55102025
Cruise Lines,RBICS_IG,Accommodation Providers,RBICS_IG,1510101010,15101010
Lawn and Garden Care Tool Manufacturing,RBICS_IG,Tools and Outdoor Care Equipment,RBICS_IG,4010203515,40102035
Computer and Software Stores,RBICS_IG,Electronics Retail,RBICS_IG,2025151010,20251510
Rehabilitation Patient Care,RBICS_IG,Other Ambulatory and Outpatient Patient Care,RBICS_IG,3515153025,35151530
Computer Display Equipment,RBICS_IG,Computer Peripherals,RBICS_IG,5515201010,55152010
Desktop Computer Systems,RBICS_IG,Computer Systems,RBICS_IG,5515201510,55152015
General Food and Beverage Services,RBICS_IG,Other Food and Beverage Services,RBICS_IG,1510102015,15101020
Diversified Industrial Manufacturing,RBICS_IG,Other Machinery Manufacturing,RBICS_IG,4010203025,40102030
Fuse Passive Electronic Components,RBICS_IG,Passive Electronic Components,RBICS_IG,5510102510,55101025
Bus Transportation,RBICS_IG,Other Passenger Transportation,RBICS_IG,4015301510,40153015
Wastewater Residual Management,RBICS_IG,Environmental Services,RBICS_IG,1010253035,10102530
Diamond Mining,RBICS_IG,Nonmetallic Mineral Mining,RBICS_IG,4515301510,45153015
Diversified Electronic Media and Sites,RBICS_IG,Diversified Electronic Media Services,RBICS_IG,5520101510,55201015
Other Metal Products Makers,RBICS_IG,Other Metal Product Manufacturing,RBICS_IG,4515101510,45151015
Human Interface Peripherals,RBICS_IG,Computer Peripherals,RBICS_IG,5515201020,55152010
Electronic System Security Equipment,RBICS_IG,Electronic Security Equipment,RBICS_IG,5515101530,55151015
"Soaps, Detergents and Biocides Manufacturing",RBICS_IG,Cleaning and Sanitizing Agent Products,RBICS_IG,4510202515,45102025
Logging and Timber Property Management,RBICS_IG,Other Forestry and Paper Products Manufacturing,RBICS_IG,4520101515,45201015
Russia/CIS/FSU Fossil Fuel Exploration/Production,RBICS_IG,Other Fossil Fuel Exploration and Production,RBICS_IG,2510152030,25101520
Diversified Crop Production,RBICS_IG,Crop Production,RBICS_IG,5015101525,50151015
Data Storage Media,RBICS_IG,Data Storage Hardware,RBICS_IG,5515202015,55152020
Computer Hardware and Storage Distributors,RBICS_IG,IT Hardware Distributors,RBICS_IG,5515301015,55153010
Other Immunology Biopharmaceuticals,RBICS_IG,Immunology Biopharmaceuticals,RBICS_IG,3510203520,35102035
Asia Excluding China Mixed Telecommunications,RBICS_IG,Pan-Asia/Pacific Mixed Telecommunications Services,RBICS_IG,6010105520,60101055
Western Europe Mixed Telecommunications Services,RBICS_IG,Pan-Europe Mixed Telecommunications Services,RBICS_IG,6010106015,60101060
Personal Recreation Vehicle Manufacturing,RBICS_IG,Recreational Goods,RBICS_IG,2010151515,20101515
Multi-Region Air Passenger Transportation,RBICS_IG,Air Passenger Transportation,RBICS_IG,4015301025,40153010
General Motor Vehicles and Parts Retail,RBICS_IG,Motor Vehicles and Parts Sales and Rental,RBICS_IG,2015102020,20151020
Other Test and Measurement Equipment,RBICS_IG,Test and Measurement Equipment,RBICS_IG,5515104515,55151045
Flexible Circuit Manufacturing,RBICS_IG,Interconnect Fabrication,RBICS_IG,5510152010,55101520
Diversified Primary Metals Processors,RBICS_IG,Primary Metals Products,RBICS_IG,4515102015,45151020
Multinational Fossil Fuel Exploration/Production,RBICS_IG,Other Fossil Fuel Exploration and Production,RBICS_IG,2510152025,25101520
Middle East and Africa Petroleum Refineries,RBICS_IG,Petroleum Refineries,RBICS_IG,2515101525,25151015
Limestone and Granite Mining,RBICS_IG,Nonmetallic Mineral Mining,RBICS_IG,4515301520,45153015
Multi-Type Plastic Products Manufacturing,RBICS_IG,Plastic Products Manufacturing,RBICS_IG,4510251515,45102515
Internet Warehouse / Superstore Retail,RBICS_IG,Warehouse Clubs and Superstores,RBICS_IG,5010153015,50101530
Canada Wholesale Power,RBICS_IG,Americas Wholesale Power,RBICS_IG,6510104015,65101040
Other Steel Mills and Products Manufacturing,RBICS_IG,Other Metal Product Manufacturing,RBICS_IG,4515101515,45151015
Mixed Usage Travel Arrangement and Reservation,RBICS_IG,Travel Arrangement and Reservation Services,RBICS_IG,1510103010,15101030
Conventional Flat Panel Display Equipment,RBICS_IG,Hardware Components,RBICS_IG,5515203010,55152030
Central and Eastern Europe Mixed Telecom Services,RBICS_IG,Pan-Europe Mixed Telecommunications Services,RBICS_IG,6010106020,60101060
Clinical and Preclinical Limited Service CRO,RBICS_IG,Contract Research Organizations,RBICS_IG,3515251510,35152515
Americas (Excluding US) Department Stores,RBICS_IG,Department Stores,RBICS_IG,5010151010,50101510
Diversified Forestry and Paper Product Makers,RBICS_IG,Other Forestry and Paper Products Manufacturing,RBICS_IG,4520101510,45201015
Other Household Products Manufacturing,RBICS_IG,Small Appliances and Accessories Manufacturing,RBICS_IG,5020101525,50201015
Europe Petroleum Refineries,RBICS_IG,Petroleum Refineries,RBICS_IG,2515101520,25151015
Pan-Americas Wholesale Power,RBICS_IG,Americas Wholesale Power,RBICS_IG,6510104010,65101040
Other Computer Display Equipment,RBICS_IG,Hardware Components,RBICS_IG,5515203015,55152030
Multi-Type Support for Oil and Gas Operations,RBICS_IG,Oil and Gas Operations Support Activities,RBICS_IG,2510202015,25102020
Luggage and Leather Goods Stores,RBICS_IG,Accessories Retail,RBICS_IG,2025101020,20251010
"Multi-Product Adhesive, Sealant and Paint Makers",RBICS_IG,"Adhesive, Sealant, Coating and Paint Products",RBICS_IG,4510201525,45102015
General Metal and Mineral Products Manufacturing,RBICS_IG,General Metal and Mineral Product Manufacturing,RBICS_IG,4515201010,45152010
Other Tools and Outdoor Care Tool Manufacturing,RBICS_IG,Tools and Outdoor Care Equipment,RBICS_IG,4010203520,40102035
Mexico Mixed Telecommunications Services,RBICS_IG,Pan-Americas Mixed Telecommunications Services,RBICS_IG,6010105025,60101050
Multinational Petroleum Refineries,RBICS_IG,Petroleum Refineries,RBICS_IG,2515101530,25151015
Oriented Strand Board (OSB) Manufacturing,RBICS_IG,Construction Wood Products,RBICS_IG,4520101020,45201010
General Plastic and Rubber Manufacturing,RBICS_IG,Other Plastic and Rubber Products Manufacturing,RBICS_IG,4510251015,45102510
Other Video Electronics Equipment,RBICS_IG,Consumer Video Electronics Equipment,RBICS_IG,5515252515,55152525
Education Finance,RBICS_IG,Consumer Finance Services,RBICS_IG,3030101525,30301015
Multi-Type Accommodation Providers,RBICS_IG,Accommodation Providers,RBICS_IG,1510101030,15101010
Diversified Cleaning and Sanitizing Agents Makers,RBICS_IG,Cleaning and Sanitizing Agent Products,RBICS_IG,4510202510,45102025
Print and Prepress Industry Software,RBICS_IG,Print Media and Publishing Services,RBICS_IG,1515102010,15151020
China Mixed Telecommunications Services,RBICS_IG,Pan-Asia/Pacific Mixed Telecommunications Services,RBICS_IG,6010105525,60101055
Europe Department Stores,RBICS_IG,Department Stores,RBICS_IG,5010151020,50101510
Multi-Type Data Storage Hardware Makers,RBICS_IG,Data Storage Hardware,RBICS_IG,5515202025,55152020
Hospitality IT Services,RBICS_IG,Accommodation Providers,RBICS_IG,1510101020,15101010
Africa and Non-US Americas Air Passenger Services,RBICS_IG,Air Passenger Transportation,RBICS_IG,4015301010,40153010
Document Duplication Equipment and Copiers,RBICS_IG,Office Equipment Products,RBICS_IG,5515103010,55151030
Canada Banks,RBICS_IG,Americas Banks,RBICS_IG,3010101010,30101010
Ambulance (Transportation),RBICS_IG,Other Ambulatory and Outpatient Patient Care,RBICS_IG,3515153010,35151530
Media Player and Recorder Equipment,RBICS_IG,Consumer Video Electronics Equipment,RBICS_IG,5515252510,55152525
Canada Mixed Telecommunications Services,RBICS_IG,Pan-Americas Mixed Telecommunications Services,RBICS_IG,6010105020,60101050
United States Department Stores,RBICS_IG,Department Stores,RBICS_IG,5010151025,50101510
Contract Manufacturing Organizations,RBICS_IG,Outsourced Development and Manufacturing Services,RBICS_IG,35152510,351525
Hematology Biopharmaceuticals,RBICS_IG,System-Specific Biopharmaceuticals,RBICS_IG,35102030,351020
Property Owners,RBICS_IG,Real Estate Investment and Services,RBICS_IG,30251515,302515
Internet Hosting Services,RBICS_IG,Internet and Data Services,RBICS_IG,55201020,552010
Nonmetallic Mineral Mining,RBICS_IG,Other Mining,RBICS_IG,45153015,451530
Other Specialty/Performance Chemical Manufacturing,RBICS_IG,Specialty and Performance Chemicals,RBICS_IG,45102030,451020
Logistics and Supply Chain Service Providers,RBICS_IG,Delivery and Logistics Services,RBICS_IG,40151520,401515
Road and Rail Transportation Operators,RBICS_IG,Cargo Transportation and Infrastructure Services,RBICS_IG,40151020,401510
Commercial Finance Services,RBICS_IG,Specialty Finance,RBICS_IG,30301010,303010
Security Services,RBICS_IG,Business Support Services,RBICS_IG,10102015,101020
"LPG, Propane and Other Distributors",RBICS_IG,Downstream Energy,RBICS_IG,25151010,251510
Multinational Banks,RBICS_IG,International Banks,RBICS_IG,30101025,301010
Organic and Petrochemical Products,RBICS_IG,Commodity Chemicals,RBICS_IG,45101010,451010
Other Real Estate Investment and Services,RBICS_IG,Real Estate Investment and Services,RBICS_IG,30251510,302515
Other Pipeline and Energy Storage Services,RBICS_IG,Midstream Energy,RBICS_IG,25151515,251515
Americas Fossil Fuel Exploration and Production,RBICS_IG,Fossil Fuel Exploration and Production,RBICS_IG,25101510,251015
United States Commercial Banks,RBICS_IG,United States Banks,RBICS_IG,30102010,301020
Beverages Production,RBICS_IG,Food and Beverage Production,RBICS_IG,50151510,501515
Americas Wholesale Power,RBICS_IG,Energy Utilities,RBICS_IG,65101040,651010
Air and Water Transportation Operators,RBICS_IG,Cargo Transportation and Infrastructure Services,RBICS_IG,40151010,401510
Base Metal Mining,RBICS_IG,Metal Ore Mining,RBICS_IG,45152510,451525
Web-Based Data and Services,RBICS_IG,Internet and Data Services,RBICS_IG,55201035,552010
Marketing and Advertising Services,RBICS_IG,Marketing and Printing Services,RBICS_IG,10101010,101010
Enterprise Management Software,RBICS_IG,Software,RBICS_IG,55201515,552015
Specialty/Performance Fibers and Polymer Products,RBICS_IG,Specialty and Performance Chemicals,RBICS_IG,45102035,451020
